,c_i_child,c_i_parent,counts,p
751,8,52,10,0.01
752,8,53,4,0.004
753,8,54,9,0.009
754,8,55,4,0.004
755,8,56,6,0.006
756,8,57,4,0.004
757,8,58,2,0.002
758,8,59,6,0.006
759,8,60,2,0.002
760,8,61,7,0.007
761,8,62,6,0.006
762,8,63,5,0.005
763,8,64,5,0.005
764,8,65,4,0.004
765,8,66,4,0.004
766,8,67,0,0.0
767,8,68,5,0.005
768,8,69,0,0.0
769,8,70,2,0.002
770,8,71,3,0.003
771,8,72,1,0.001
772,8,73,4,0.004
773,8,74,0,0.0
774,8,75,5,0.005
775,8,76,3,0.003
776,8,77,2,0.002
777,8,78,3,0.003
778,8,79,1,0.001
779,8,80,1,0.001
780,8,81,0,0.0
781,8,82,0,0.0
782,8,83,1,0.001
783,8,84,0,0.0
784,8,85,1,0.001
785,8,86,0,0.0
786,8,87,0,0.0
787,8,88,0,0.0
788,8,89,0,0.0
789,8,90,1,0.001
790,8,91,0,0.0
791,8,92,2,0.002
792,8,93,0,0.0
793,8,94,0,0.0
794,8,95,0,0.0
795,8,96,1,0.001
796,8,97,0,0.0
797,8,98,0,0.0
798,8,99,0,0.0
799,8,100,0,0.0
800,9,1,32,0.032
801,9,2,36,0.036
802,9,3,29,0.029
803,9,4,33,0.033
804,9,5,34,0.034
805,9,6,33,0.033
806,9,7,31,0.031
807,9,8,27,0.027
808,9,9,23,0.023
809,9,10,28,0.028
810,9,11,28,0.028
811,9,12,24,0.024
812,9,13,15,0.015
813,9,14,26,0.026
814,9,15,29,0.029
815,9,16,26,0.026
816,9,17,23,0.023
817,9,18,23,0.023
818,9,19,19,0.019
819,9,20,19,0.019
820,9,21,19,0.019
821,9,22,30,0.03
822,9,23,17,0.017
823,9,24,20,0.02
824,9,25,14,0.014
825,9,26,16,0.016
826,9,27,15,0.015
827,9,28,15,0.015
828,9,29,9,0.009
829,9,30,18,0.018
830,9,31,13,0.013
831,9,32,14,0.014
832,9,33,16,0.016
833,9,34,10,0.01
834,9,35,12,0.012
835,9,36,6,0.006
836,9,37,10,0.01
837,9,38,16,0.016
838,9,39,12,0.012
839,9,40,9,0.009
840,9,41,10,0.01
841,9,42,6,0.006
842,9,43,9,0.009
843,9,44,15,0.015
844,9,45,4,0.004
845,9,46,10,0.01
846,9,47,8,0.008
847,9,48,7,0.007
848,9,49,6,0.006
849,9,50,3,0.003
850,9,51,3,0.003
851,9,52,1,0.001
852,9,53,4,0.004
853,9,54,6,0.006
854,9,55,7,0.007
855,9,56,3,0.003
856,9,57,2,0.002
857,9,58,5,0.005
858,9,59,3,0.003
859,9,60,6,0.006
860,9,61,3,0.003
861,9,62,4,0.004
862,9,63,1,0.001
863,9,64,3,0.003
864,9,65,2,0.002
865,9,66,3,0.003
866,9,67,4,0.004
867,9,68,1,0.001
868,9,69,3,0.003
869,9,70,2,0.002
870,9,71,3,0.003
871,9,72,2,0.002
872,9,73,4,0.004
873,9,74,2,0.002
874,9,75,2,0.002
875,9,76,1,0.001
876,9,77,2,0.002
877,9,78,0,0.0
878,9,79,0,0.0
879,9,80,0,0.0
880,9,81,1,0.001
881,9,82,2,0.002
882,9,83,3,0.003
883,9,84,0,0.0
884,9,85,3,0.003
885,9,86,0,0.0
886,9,87,0,0.0
887,9,88,0,0.0
888,9,89,1,0.001
889,9,90,1,0.001
890,9,91,0,0.0
891,9,92,0,0.0
892,9,93,0,0.0
893,9,94,0,0.0
894,9,95,0,0.0
895,9,96,0,0.0
896,9,97,0,0.0
897,9,98,0,0.0
898,9,99,0,0.0
899,9,100,0,0.0
900,10,1,19,0.019
901,10,2,29,0.029
902,10,3,32,0.032
903,10,4,32,0.032
904,10,5,27,0.027
905,10,6,35,0.035
906,10,7,42,0.042
907,10,8,31,0.031
908,10,9,32,0.032
909,10,10,30,0.03
910,10,11,18,0.018
911,10,12,23,0.023
912,10,13,24,0.024
913,10,14,23,0.023
914,10,15,16,0.016
915,10,16,24,0.024
916,10,17,24,0.024
917,10,18,20,0.02
918,10,19,21,0.021
919,10,20,22,0.022
920,10,21,12,0.012
921,10,22,14,0.014
922,10,23,20,0.02
923,10,24,16,0.016
924,10,25,17,0.017
925,10,26,19,0.019
926,10,27,11,0.011
927,10,28,8,0.008
928,10,29,14,0.014
929,10,30,20,0.02
930,10,31,12,0.012
931,10,32,10,0.01
932,10,33,12,0.012
933,10,34,15,0.015
934,10,35,16,0.016
935,10,36,11,0.011
936,10,37,12,0.012
937,10,38,11,0.011
938,10,39,4,0.004
939,10,40,15,0.015
940,10,41,17,0.017
941,10,42,3,0.003
942,10,43,9,0.009
943,10,44,9,0.009
944,10,45,9,0.009
945,10,46,7,0.007
946,10,47,7,0.007
947,10,48,11,0.011
948,10,49,8,0.008
949,10,50,9,0.009
950,10,51,4,0.004
951,10,52,4,0.004
952,10,53,7,0.007
953,10,54,4,0.004
954,10,55,5,0.005
955,10,56,7,0.007
956,10,57,6,0.006
957,10,58,8,0.008
958,10,59,5,0.005
959,10,60,5,0.005
960,10,61,4,0.004
961,10,62,5,0.005
962,10,63,3,0.003
963,10,64,5,0.005
964,10,65,3,0.003
965,10,66,2,0.002
966,10,67,3,0.003
967,10,68,6,0.006
968,10,69,0,0.0
969,10,70,4,0.004
970,10,71,2,0.002
971,10,72,3,0.003
972,10,73,2,0.002
973,10,74,2,0.002
974,10,75,2,0.002
975,10,76,2,0.002
976,10,77,2,0.002
977,10,78,1,0.001
978,10,79,3,0.003
979,10,80,1,0.001
980,10,81,3,0.003
981,10,82,0,0.0
982,10,83,0,0.0
983,10,84,0,0.0
984,10,85,0,0.0
985,10,86,0,0.0
986,10,87,0,0.0
987,10,88,0,0.0
988,10,89,0,0.0
989,10,90,2,0.002
990,10,91,3,0.003
991,10,92,0,0.0
992,10,93,0,0.0
993,10,94,0,0.0
994,10,95,0,0.0
995,10,96,0,0.0
996,10,97,0,0.0
997,10,98,0,0.0
998,10,99,0,0.0
999,10,100,0,0.0
1000,11,1,37,0.037
1001,11,2,36,0.036
1002,11,3,30,0.03
1003,11,4,27,0.027
1004,11,5,25,0.025
1005,11,6,22,0.022
1006,11,7,25,0.025
1007,11,8,26,0.026
1008,11,9,23,0.023
1009,11,10,29,0.029
1010,11,11,26,0.026
1011,11,12,18,0.018
1012,11,13,27,0.027
1013,11,14,24,0.024
1014,11,15,37,0.037
1015,11,16,18,0.018
1016,11,17,24,0.024
1017,11,18,20,0.02
1018,11,19,19,0.019
1019,11,20,19,0.019
1020,11,21,19,0.019
1021,11,22,17,0.017
1022,11,23,15,0.015
1023,11,24,16,0.016
1024,11,25,15,0.015
1025,11,26,13,0.013
1026,11,27,6,0.006
1027,11,28,17,0.017
1028,11,29,12,0.012
1029,11,30,21,0.021
1030,11,31,16,0.016
1031,11,32,13,0.013
1032,11,33,15,0.015
1033,11,34,12,0.012
1034,11,35,11,0.011
1035,11,36,20,0.02
1036,11,37,7,0.007
1037,11,38,8,0.008
1038,11,39,16,0.016
1039,11,40,8,0.008
1040,11,41,13,0.013
1041,11,42,5,0.005
1042,11,43,13,0.013
1043,11,44,14,0.014
1044,11,45,7,0.007
1045,11,46,9,0.009
1046,11,47,7,0.007
1047,11,48,7,0.007
1048,11,49,10,0.01
1049,11,50,9,0.009
1050,11,51,11,0.011
1051,11,52,4,0.004
1052,11,53,5,0.005
1053,11,54,6,0.006
1054,11,55,3,0.003
1055,11,56,5,0.005
1056,11,57,7,0.007
1057,11,58,5,0.005
1058,11,59,4,0.004
1059,11,60,3,0.003
1060,11,61,4,0.004
1061,11,62,6,0.006
1062,11,63,2,0.002
1063,11,64,2,0.002
1064,11,65,2,0.002
1065,11,66,5,0.005
1066,11,67,4,0.004
1067,11,68,4,0.004
1068,11,69,4,0.004
1069,11,70,2,0.002
1070,11,71,2,0.002
1071,11,72,2,0.002
1072,11,73,3,0.003
1073,11,74,1,0.001
1074,11,75,1,0.001
1075,11,76,1,0.001
1076,11,77,2,0.002
1077,11,78,0,0.0
1078,11,79,2,0.002
1079,11,80,3,0.003
1080,11,81,0,0.0
1081,11,82,1,0.001
1082,11,83,2,0.002
1083,11,84,0,0.0
1084,11,85,1,0.001
1085,11,86,2,0.002
1086,11,87,2,0.002
1087,11,88,0,0.0
1088,11,89,0,0.0
1089,11,90,0,0.0
1090,11,91,0,0.0
1091,11,92,1,0.001
1092,11,93,2,0.002
1093,11,94,0,0.0
1094,11,95,1,0.001
